gen,q_value,Log2FC,sign
HDC,0.02030949974445851,1.7122411962732316,UP
COX4I2,0.02030949974445851,1.1180219022474938,UP
TEK,0.02030949974445851,1.1170437251014391,UP
FHL3,0.02030949974445851,1.2969977794371153,UP
APOD,0.019828938774910352,1.2739601639880784,UP
FBXL7,0.019531115555889326,1.1857825814666254,UP
OMG,0.019482869121198832,1.0018771478258452,UP
IGF1,0.019400052407794372,1.2562615699238817,UP
ADAM28,0.019208855930053812,1.5871631385820033,UP
TLR3,0.018785653356490375,1.0855755456889107,UP
HMCN1,0.01849792981656501,1.1211135391971752,UP
IGHM,0.01813646452114354,2.8879509143189526,UP
VWF,0.0180503705016872,1.005020872546627,UP
SLIT2,0.017993991155089418,1.0566379150172063,UP
CD3E,0.017993991155089418,2.0004280628279987,UP
IGLV2-11,0.017963805814790124,3.931878658851852,UP
BMF,0.01792328226190464,1.1121172296699515,UP
TPRG1,0.017863511833284024,1.569419130772872,UP
HOXA3,0.01772895055326597,1.1739561239482816,UP
NES,0.01759799199170771,1.1329209289064917,UP
HOXA-AS2,0.01759799199170771,1.4271699173482846,UP
CSF3R,0.01759799199170771,1.3586152481841893,UP
SHROOM4,0.01759799199170771,1.3741525255640612,UP
NDC80,0.017364525182158988,1.6300540095184484,UP
CD3G,0.01717270576233678,1.5698578693291265,UP
AOC3,0.017112070323937575,1.0226005501534046,UP
ADCY4,0.017052266800430815,1.1010419583490139,UP
HPGDS,0.016945759695444398,1.3616256185364792,UP
ADAMTS9,0.016444371310950903,1.3676955304242884,UP
AC131182.1,0.016444371310950903,1.286713174218896,UP
BCL2A1,0.016444371310950903,1.9097252582152882,UP
PPARGC1B,0.01644243670272945,1.1610753937881968,UP
FAM89A,0.01623953032309992,1.3391653484516672,UP
FJX1,0.016221936118006722,1.2311091837263026,UP
SERINC2,0.016219043150276193,1.302615198237915,UP
IGKV1-5,0.015935466926105105,3.7809100306949466,UP
NCKAP1L,0.015326326233195409,1.445266075431034,UP
BMPR1B,0.014783730209729815,1.7111524060884862,UP
ADAMTS12,0.014783730209729815,1.5131863223661104,UP
TGFBR2,0.01476336344286947,1.0240597454926248,UP
CLDN5,0.01476336344286947,1.5197001074051864,UP
LY86,0.01476336344286947,1.5364519102640164,UP
GATD3,0.014678151628587897,2.956193987635106,UP
PIEZO2,0.014513436767208402,1.4592639708465316,UP
GLDN,0.014482515439684242,1.8330126145079042,UP
CHST1,0.014482515439684242,1.7649338608187337,UP
CCR1,0.014438245068527648,1.6004244122968585,UP
PTGS1,0.01429143066628223,1.3303173216595858,UP
GASK1B,0.014283378134211629,1.1379607438614259,UP
TOR4A,0.014143962113581971,1.4477098775039605,UP
FMOD,0.014119622085519324,1.085548707428464,UP
DBH-AS1,0.014041012302531847,1.2616380389688069,UP
VSIR,0.013789668218255443,1.0043493650655604,UP
SYTL4,0.013755469343009995,1.2004742352850168,UP
C4BPA,0.013447156899492881,1.6910190704350276,UP
NOTUM,0.013412728051860742,1.3559833259030059,UP
EXPH5,0.013384863496396783,1.0503019802967108,UP
FOSB,0.013083612978350494,1.6555854262561218,UP
CHRDL2,0.013038497347029143,1.4843260245617895,UP
GIMAP7,0.012712659205456412,1.102060903586619,UP
STARD8,0.012582355497446112,1.114720693446232,UP
NUSAP1,0.012370808799724622,1.4215742046686326,UP
IGLV3-21,0.011894440074859064,4.539804355224373,UP
PTGIR,0.011795073137700385,1.381201014812495,UP
ITGB4,0.011795073137700385,1.3326331535822078,UP
RARRES1,0.01128814189761367,1.3554839628271398,UP
ADGRL4,0.011278209293632513,1.1349562564785074,UP
CCL4L2,0.011231313831807001,2.0489352977830406,UP
ABCC3,0.01111999548403048,1.5029656269966238,UP
FGD2,0.011095897543245642,1.449569648841589,UP
FCGR2B,0.011095897543245642,1.5799310275834708,UP
PRR5L,0.010893734443074593,1.3961833242025083,UP
FOXF2,0.010854129516983496,1.5580823891618827,UP
ATP8B4,0.010426108117295212,1.1132776321456817,UP
FPR3,0.010426108117295212,1.542865391700478,UP
NOS3,0.010131418632036272,1.0745664241224084,UP
GPR4,0.010131418632036272,1.3382609257331601,UP
TRPC6,0.010109389517775562,1.1301126601508193,UP
CLEC12A,0.010045192332723598,2.008181018102256,UP
CD93,0.009984162042658107,1.3011736065420645,UP
ADGRE2,0.009727168082719517,1.904876380392106,UP
CLEC2D,0.009683138675744662,1.1754254242608737,UP
SLC22A3,0.009683138675744662,2.0622589613669757,UP
AC103740.1,0.009653133108552023,2.3042688763080528,UP
OLFM4,0.009617128021048721,2.509815100124517,UP
HCK,0.009608180282085583,1.4634980200092695,UP
IL33,0.009608180282085583,1.5097182440713763,UP
TGFBI,0.009537530986985607,1.3669978869795036,UP
PTGDS,0.009329480335789949,1.111278365765966,UP
OLFML2B,0.009296767114079682,1.8413031610085986,UP
CYBRD1,0.009232786297958394,1.1392544624369105,UP
RGS1,0.009230858429215562,1.7605867203348005,UP
TNFSF15,0.009085055005130457,1.5801457132210046,UP
CD69,0.009006512872146127,1.9560620050353401,UP
RHEX,0.008903959604301594,1.1755137851905662,UP
GJC1,0.008761250542663426,1.2645929535716312,UP
IGHA1,0.008658752285261091,2.818018191023385,UP
CENPE,0.00856108756012116,1.4824720989871154,UP
EGR3,0.008529685380148644,1.526118003408002,UP
